filename,label,path,image_shape
cat1.png,cats,dataset\cats\cat1.png,"(128, 128, 3)"
cat10.png,cats,dataset\cats\cat10.png,"(128, 128, 3)"
cat2.png,cats,dataset\cats\cat2.png,"(128, 128, 3)"
cat3.png,cats,dataset\cats\cat3.png,"(128, 128, 3)"
cat4.png,cats,dataset\cats\cat4.png,"(128, 128, 3)"
cat5.png,cats,dataset\cats\cat5.png,"(128, 128, 3)"
cat6.png,cats,dataset\cats\cat6.png,"(128, 128, 3)"
cat7.png,cats,dataset\cats\cat7.png,"(128, 128, 3)"
cat8.png,cats,dataset\cats\cat8.png,"(128, 128, 3)"
cat9.png,cats,dataset\cats\cat9.png,"(128, 128, 3)"
dog1.png,dogs,dataset\dogs\dog1.png,"(128, 128, 3)"
dog10.png,dogs,dataset\dogs\dog10.png,"(128, 128, 3)"
dog2.png,dogs,dataset\dogs\dog2.png,"(128, 128, 3)"
dog3.png,dogs,dataset\dogs\dog3.png,"(128, 128, 3)"
dog4.png,dogs,dataset\dogs\dog4.png,"(128, 128, 3)"
dog5.png,dogs,dataset\dogs\dog5.png,"(128, 128, 3)"
dog6.png,dogs,dataset\dogs\dog6.png,"(128, 128, 3)"
dog7.png,dogs,dataset\dogs\dog7.png,"(128, 128, 3)"
dog8.png,dogs,dataset\dogs\dog8.png,"(128, 128, 3)"
dog9.png,dogs,dataset\dogs\dog9.png,"(128, 128, 3)"
